shop_ID,W1_gps_dec_long,W1_gps_dec_lat,W1_shoptype,W1_tuksayur2,W1_rokok2,W1_gas2,W1_warung2,B,BM,BC,BMC,BT,BMT,BCT,BMCT,control,treatgroup
106,106.80285,-6.1496301,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
109,106.80278,-6.1491385,2,1,1,0,1,1,0,0,0,1,0,0,0,0,8
116,106.80616,-6.1503115,1,1,0,0,1,1,0,0,0,1,0,0,0,0,8
129,106.73258,-6.1475315,1,1,0,0,1,0,1,0,0,0,1,0,0,0,6
132,106.8044,-6.1499,1,1,0,0,0,0,0,0,1,0,0,0,1,0,5
184,106.80195,-6.1524081,2,1,1,0,1,0,0,0,1,0,0,0,1,0,5
189,106.80571,-6.1503716,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
203,106.94434,-6.2313232,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5
206,106.93783,-6.2257586,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
208,106.93857,-6.2255216,2,1,1,0,1,0,0,1,0,0,0,1,0,0,7
209,106.93914,-6.2262783,2,1,1,0,0,0,1,0,0,0,0,0,0,0,6
211,106.93893,-6.2242284,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4
217,106.93857,-6.2255216,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
222,106.94189,-6.2318234,2,1,1,0,0,0,0,1,0,0,0,1,0,0,3
223,106.93829,-6.2286882,1,1,1,0,0,1,0,0,0,1,0,0,0,0,4
224,106.93873,-6.2287202,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1
225,106.93951,-6.2287483,2,1,1,0,0,0,0,1,0,0,0,1,0,0,3
228,106.94197,-6.2301383,2,1,1,1,0,1,0,0,0,1,0,0,0,0,8
231,106.93916,-6.2294917,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3
234,106.94595,-6.2194233,1,1,0,1,1,0,0,0,1,0,0,0,0,0,5
236,106.94496,-6.2194319,1,1,1,0,0,0,0,1,0,0,0,1,0,0,7
237,106.94433,-6.219275,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8
240,106.94576,-6.2214217,2,1,1,0,1,0,1,0,0,0,0,0,0,0,6
241,106.94535,-6.2216215,2,1,1,0,1,0,1,0,0,0,0,0,0,0,6
281,106.93914,-6.2262869,4,1,0,0,1,1,0,0,0,1,0,0,0,0,4
301,106.80235,-6.3422999,2,1,1,0,0,1,0,0,0,1,0,0,0,0,8
302,106.80051,-6.3421335,2,1,1,0,1,0,0,1,0,0,0,1,0,0,3
303,106.80032,-6.3439431,2,1,1,0,0,0,0,0,1,0,0,0,1,0,5
305,106.80116,-6.3432217,4,1,0,0,1,0,0,0,1,0,0,0,0,0,5
310,106.80035,-6.3357935,2,1,1,0,0,1,0,0,0,1,0,0,0,0,4
311,106.80164,-6.3359485,2,1,1,0,0,1,0,0,0,1,0,0,0,0,8
312,106.80241,-6.3359165,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
317,106.80255,-6.3426132,1,1,0,1,0,0,0,0,1,0,0,0,1,0,5
323,106.80815,-6.3368602,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1
329,106.8112,-6.3345232,2,1,1,0,1,0,0,1,0,0,0,0,0,0,7
333,106.80788,-6.3333168,3,1,0,1,1,0,0,1,0,0,0,1,0,0,7
334,106.80895,-6.3349366,1,1,0,0,0,0,0,1,0,0,0,1,0,0,7
389,106.81013,-6.3371735,2,1,1,1,0,0,1,0,0,0,0,0,0,0,6
403,106.82154,-6.3360119,2,1,1,0,1,0,0,1,0,0,0,1,0,0,7
408,106.74881,-6.2333331,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1
414,106.7494,-6.2334318,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5
417,106.74763,-6.2294717,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
425,106.75767,-6.2256765,1,1,1,0,1,0,0,1,0,0,0,1,0,0,3
427,106.75603,-6.2286215,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
429,106.75623,-6.2280583,1,1,0,0,1,0,0,0,1,0,0,0,0,0,5
433,106.75858,-6.2265835,4,1,0,0,1,1,0,0,0,1,0,0,0,0,8
436,106.7565,-6.2339482,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2
440,106.74899,-6.2280631,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3
481,106.74912,-6.2333965,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3
488,106.7563,-6.2276268,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6
510,106.828,-6.1589231,2,1,1,0,1,0,0,1,0,0,0,0,0,0,7
516,106.82771,-6.1498466,1,1,0,0,1,1,0,0,0,1,0,0,0,0,4
517,106.82942,-6.1489234,2,1,1,0,1,0,0,1,0,0,0,1,0,0,3
520,106.82957,-6.1544685,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1
521,106.83056,-6.1544886,2,1,1,0,0,1,0,0,0,1,0,0,0,0,8
522,106.83015,-6.1542869,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5
526,106.83086,-6.1531734,4,1,0,0,1,0,0,0,1,0,0,0,1,0,5
582,106.82845,-6.1565485,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3
601,106.71741,-6.1396518,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
602,106.71745,-6.1386986,2,1,1,0,0,0,0,1,0,0,0,1,0,0,7
604,106.71772,-6.1394315,2,1,1,0,1,1,0,0,0,1,0,0,0,0,4
615,106.7272,-6.1298418,2,1,1,0,0,0,1,0,0,0,0,0,0,0,6
616,106.72546,-6.1296501,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2
627,106.72826,-6.1321383,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1
631,106.72328,-6.1422215,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6
639,106.72454,-6.1520915,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
682,106.71928,-6.1405835,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2
683,106.71976,-6.1399035,4,1,1,0,1,0,0,0,1,0,0,0,1,0,1
685,106.71848,-6.1413798,1,1,0,0,1,0,1,0,0,0,1,0,0,0,2
691,106.72964,-6.1315198,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5
705,106.86612,-6.3111615,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3
710,106.86635,-6.3117485,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2
712,106.86775,-6.3108482,2,1,1,0,0,0,0,1,0,0,0,1,0,0,3
722,106.86351,-6.3130465,2,1,1,0,0,0,0,0,1,0,0,0,0,0,5
725,106.86549,-6.3142285,2,1,1,0,1,0,0,1,0,0,0,1,0,0,3
728,106.87218,-6.3132114,2,1,1,0,1,1,0,0,0,1,0,0,0,0,4
735,106.87633,-6.3096266,2,1,1,0,0,1,0,0,0,1,0,0,0,0,8
736,106.87627,-6.3106899,1,1,0,0,1,0,0,1,0,0,0,1,0,0,7
740,106.86845,-6.3222351,2,1,1,1,0,0,0,1,0,0,0,0,0,0,3
741,106.868,-6.3213415,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6
782,106.86607,-6.3124318,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
801,106.75977,-6.1388116,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5
807,106.75899,-6.1384115,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
833,106.75031,-6.1400118,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1
838,106.74832,-6.1393199,1,1,0,0,1,0,0,0,1,0,0,0,1,0,5
842,106.74911,-6.138135,4,1,1,0,1,1,0,0,0,1,0,0,0,0,8
882,106.75776,-6.1375418,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3
886,106.74694,-6.1350698,1,1,1,0,0,0,0,1,0,0,0,1,0,0,7
893,106.74888,-6.1394348,1,1,0,1,1,0,0,1,0,0,0,1,0,0,7
913,106.84019,-6.2933149,2,1,1,0,1,0,0,0,1,0,0,0,0,0,5
929,106.8345,-6.2961965,1,1,1,0,0,0,0,0,1,0,0,0,0,0,5
933,106.83999,-6.2895918,2,1,1,0,1,1,0,0,0,1,0,0,0,0,4
981,106.83916,-6.2954917,1,1,0,0,0,0,0,1,0,0,0,1,0,0,3
985,106.83931,-6.2846365,4,1,0,1,1,1,0,0,0,1,0,0,0,0,4
1102,106.88623,-6.3412218,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
1104,106.88364,-6.3424916,1,1,0,0,1,0,0,1,0,0,0,1,0,0,3
1119,106.87753,-6.3498216,2,1,1,0,1,0,0,1,0,0,0,1,0,0,3
1127,106.88123,-6.3378081,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5
1128,106.88152,-6.3380032,1,1,0,1,0,0,0,1,0,0,0,1,0,0,7
1130,106.8807,-6.3373899,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2
1133,106.88107,-6.3393917,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
1138,106.88036,-6.3344684,2,1,1,0,0,0,0,0,1,0,0,0,0,0,5
1144,106.87998,-6.3373499,2,1,1,0,0,0,1,0,0,0,0,0,0,0,6
1145,106.87988,-6.3371215,2,1,1,0,1,1,0,0,0,1,0,0,0,0,4
1146,106.87834,-6.3367066,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1186,106.87993,-6.3418884,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2
1201,106.85818,-6.2448916,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1214,106.851,-6.2469635,1,1,0,0,0,0,0,1,0,0,0,1,0,0,7
1220,106.85249,-6.2443018,2,1,1,0,1,0,1,0,0,0,0,0,0,0,2
1221,106.84949,-6.2456365,1,1,0,1,0,0,0,0,1,0,0,0,0,0,5
1285,106.85541,-6.2459865,2,1,1,0,0,0,0,1,0,0,0,1,0,0,7
1297,106.84798,-6.2446532,2,1,1,0,1,0,1,0,0,0,0,0,0,0,6
1301,106.94532,-6.1807919,2,1,1,0,0,0,0,1,0,0,0,1,0,0,3
1303,106.94447,-6.1803384,2,1,1,0,0,0,0,1,0,0,0,1,0,0,7
1307,106.94432,-6.1813469,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
1313,106.94588,-6.1804099,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1
1314,106.94573,-6.1820316,1,1,0,0,0,0,0,0,1,0,0,0,1,0,5
1333,106.948,-6.1678467,1,1,0,0,1,0,0,1,0,0,0,0,0,0,7
1336,106.95129,-6.1681633,1,1,0,0,1,1,0,0,0,1,0,0,0,0,8
1342,106.95074,-6.1761317,1,1,0,1,0,0,1,0,0,0,1,0,0,0,6
1348,106.96513,-6.1675649,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2
1351,106.96458,-6.1696982,1,1,1,0,1,0,1,0,0,0,1,0,0,0,6
1389,106.94874,-6.1642432,1,1,1,0,0,1,0,0,0,0,0,0,0,0,4
1411,106.92864,-6.2265034,1,1,0,0,0,0,0,0,1,0,0,0,1,0,5
1417,106.9272,-6.2168183,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6
1419,106.92775,-6.2237849,3,1,0,1,1,0,0,1,0,0,0,1,0,0,3
1421,106.9265,-6.2205033,2,1,1,0,0,0,0,0,1,0,0,0,1,0,5
1422,106.92737,-6.2201033,4,1,1,0,1,0,1,0,0,0,1,0,0,0,2
1426,106.92802,-6.2195435,2,1,1,0,0,0,0,1,0,0,0,1,0,0,7
1487,106.9277,-6.2257233,2,1,1,0,1,0,0,0,1,0,0,0,1,0,1
1504,106.84162,-6.3123732,1,1,0,0,0,1,0,0,0,1,0,0,0,0,4
1505,106.84029,-6.3108935,4,1,0,0,1,0,0,0,1,0,0,0,1,0,5
1510,106.84061,-6.3136468,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6
1515,106.8442,-6.3152566,4,1,1,0,1,0,1,0,0,0,1,0,0,0,2
1522,106.84069,-6.3098416,4,1,1,0,1,0,1,0,0,0,0,0,0,0,6
1523,106.85467,-6.3086982,2,1,1,0,0,0,0,1,0,0,0,1,0,0,7
1532,106.85354,-6.3041968,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
1534,106.85375,-6.3102732,1,1,1,0,0,0,0,1,0,0,0,1,0,0,3
1536,106.85322,-6.3106017,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1544,106.85543,-6.3124352,1,1,0,0,0,1,0,0,0,1,0,0,0,0,8
1545,106.85529,-6.3133535,1,1,1,0,0,1,0,0,0,1,0,0,0,0,4
1580,106.84652,-6.3149486,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1
1583,106.8406,-6.3095984,2,1,1,0,1,0,0,0,1,0,0,0,1,0,5
1584,106.85518,-6.3080683,2,1,1,0,0,0,1,0,0,0,1,0,0,0,2
1594,106.8549,-6.3104734,1,1,0,1,0,0,1,0,0,0,1,0,0,0,6
1595,106.85574,-6.3110933,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1596,106.85492,-6.3116598,2,1,1,0,0,0,0,0,1,0,0,0,1,0,5
1597,106.85432,-6.3107581,1,1,0,0,0,1,0,0,0,1,0,0,0,0,8
1603,106.83932,-6.3317752,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2
1606,106.83907,-6.3336782,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2
1611,106.83878,-6.3332734,1,1,0,1,0,1,0,0,0,1,0,0,0,0,8
1619,106.84229,-6.3312883,2,1,1,0,1,1,0,0,0,1,0,0,0,0,4
1620,106.83643,-6.3322268,1,1,1,0,0,1,0,0,0,1,0,0,0,0,8
1622,106.83628,-6.3325915,2,1,1,0,0,0,0,0,1,0,0,0,1,0,5
1625,106.83701,-6.3251948,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
1626,106.83731,-6.3251781,4,1,0,0,1,0,0,1,0,0,0,1,0,0,3
1627,106.83822,-6.3265567,1,1,1,0,1,1,0,0,0,1,0,0,0,0,4
1640,106.83846,-6.3252702,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1
1641,106.83849,-6.3254933,1,1,1,0,0,0,1,0,0,0,1,0,0,0,6
1642,106.83924,-6.3256016,3,1,0,1,1,0,1,0,0,0,1,0,0,0,6
1648,106.83421,-6.3264952,2,1,1,0,1,0,0,1,0,0,0,1,0,0,3
1653,106.84097,-6.3254519,1,1,0,1,0,0,0,0,1,0,0,0,1,0,5
1654,106.84158,-6.3170533,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
1658,106.84084,-6.3159719,1,1,0,0,1,0,0,0,1,0,0,0,0,0,5
1661,106.83902,-6.3154883,1,1,0,0,1,0,0,0,1,0,0,0,0,0,5
1668,106.83836,-6.3178668,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2
1669,106.83879,-6.3166766,1,1,0,0,0,1,0,0,0,1,0,0,0,0,8
1672,106.83859,-6.3196735,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6
1676,106.83872,-6.3222585,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2
1682,106.8421,-6.3314533,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1687,106.83765,-6.3271999,3,1,0,1,1,0,0,1,0,0,0,1,0,0,7
1689,106.83959,-6.3253698,2,1,1,0,0,1,0,0,0,1,0,0,0,0,8
1694,106.83796,-6.3195415,1,1,0,1,0,0,0,1,0,0,0,1,0,0,7
1711,106.85244,-6.2021585,2,1,1,0,1,0,1,0,0,0,1,0,0,0,6
1712,106.84933,-6.2053585,1,1,0,0,0,0,0,1,0,0,0,1,0,0,7
